,phi0,p,q,P[N],delta_H,delta_V,small_delta_v,safety_ratio
0,20.0,0.8191520442889918,0.8547464560489583,0.20555173170491436,0.0822525851075353,0.5846154785067328,0.618567473495255,5.132837647251457
1,20.2,0.8201518758737721,0.8594089834993335,0.20780036235066932,0.08390035727339251,0.590331299935881,0.6253342847783895,5.080700949932575
2,20.4,0.821149209133704,0.8640588768189048,0.21005508278321292,0.08556431318426805,0.5960432713313149,0.6321194220760835,5.0295723974301625
3,20.6,0.8221440410307375,0.8686964969354926,0.21231597025813828,0.08724444705252798,0.6017513566113967,0.6389231178738369,4.979422589818461
4,20.8,0.8231363685344419,0.8733221977301129,0.21458310259494148,0.08894075305996152,0.6074555197569022,0.645745606354104,4.93022325747858
5,21.0,0.8241261886220157,0.8779363262898929,0.21685655818592456,0.09065322535870024,0.6131557248118908,0.6525871234230864,4.88194720727088
6,21.2,0.825113498278295,0.882539223150468,0.2191364160052057,0.09238185807206634,0.6188519358843099,0.6594479067378467,4.834568271754289
7,21.4,0.8260982944957639,0.8871312225284944,0.22142275561788238,0.09412664529559889,0.6245441171469651,0.666328195733883,4.788061261252745
8,21.6,0.8270805742745618,0.8917126525445979,0.223715657189252,0.09588758109773643,0.6302322328378954,0.6732282316528774,4.742401918585344
9,21.8,0.8280603346224944,0.8962838354375813,0.22601520149426432,0.09766465952105641,0.6359162472615937,0.6801482575711405,4.697566876287173
10,22.0,0.8290375725550416,0.9008450877699278,0.22832146992699823,0.09945787458296662,0.6415961247893546,0.6870885184281302,4.653533616164681
11,22.2,0.8300122850953675,0.9053967206253921,0.23063454451034832,0.10126722027681767,0.6472718298602964,0.6940492610556016,4.6102804310363545
12,22.4,0.8309844692743282,0.9099390397988372,0.23295450790580077,0.10309269057279202,0.6529433269819704,0.7010307342070252,4.567786388523454
13,22.6,0.8319541221304825,0.9144723459788344,0.2352814434233716,0.10493427941891253,0.6586105807311546,0.7080331885874946,4.526031296763033
14,22.8,0.8329212407100994,0.918996934923373,0.23761543503170296,0.106791980742178,0.6642735557548316,0.7150568768841092,4.484995671925367
15,23.0,0.8338858220671681,0.9235130976288717,0.23995656736824783,0.10866578844940022,0.6699322167706772,0.7221020537966226,4.444660707426565
16,23.2,0.8348478632634065,0.9280211204930171,0.24230492574964926,0.11055569642831653,0.675586528567967,0.7291689760686774,4.405008244733145
17,23.4,0.8358073613682703,0.9325212854716245,0.24466059618226535,0.11246169854869681,0.6812364560084171,0.7362579025194779,4.366020745663806
18,23.6,0.8367643134589617,0.9370138702297988,0.24702366537283804,0.11438378866340138,0.6868819640270092,0.7433690940758956,4.32768126609959
19,23.8,0.8377187166204387,0.9414991482876739,0.2493942207393137,0.11632196060945121,0.6925230176327009,0.7505028138050317,4.289973431019586
20,24.0,0.838670567945424,0.9459773891609687,0.2517723504218099,0.11827620820903562,0.6981595819091329,0.7576593269472199,4.252881410784882
21,24.2,0.8396198645344132,0.9504488584967516,0.2541581432938119,0.12024652527088753,0.703791622015796,0.7648389009497191,4.216389898597925
22,24.4,0.8405666034956842,0.954913818204308,0.256551688973425,0.12223290559110866,0.7094191031883915,0.7720418055005756,4.180484089071258
23,24.6,0.8415107819453062,0.9593725265817732,0.2589530778349236,0.12423534295465366,0.7150419907401354,0.7792683125633779,4.145149657840605
24,24.8,0.8424523970071476,0.9638252384382527,0.2613624010203418,0.12625383113619515,0.7206602500621023,0.7865186964121366,4.11037274216542
25,25.0,0.8433914458128857,0.968272205212092,0.2637797504513611,0.12828836390157283,0.7262738466244868,0.7937932336670568,4.0761399224595705
26,25.2,0.8443279255020151,0.9727136750851222,0.26620521884130605,0.13033893500893168,0.7318827459773047,0.8010922033306387,4.042438204702042
27,25.4,0.8452618332218561,0.977149893093185,0.2686388997073191,0.132405538209857,0.7374869137510928,0.8084158868243128,4.0092550036785815
28,25.6,0.846193166127564,0.9815811012331896,0.2710808873827668,0.13448816725072898,0.7430863156579457,0.8157645680257766,3.976578127008497
29,25.8,0.8471219213821372,0.9860075385667364,0.27353127702981467,0.13658681587399757,0.7486809174923472,0.8231385333068343,3.9443957599145207
30,26.0,0.848048096156426,0.9904294413204611,0.2759901646521747,0.13870147781937536,0.7542706851319277,0.8305380715717589,3.9126964506956776
31,26.2,0.8489716876291415,0.9948470429834088,0.2784576471081228,0.14083214682536038,0.7598555845386351,0.8379634742964648,3.8814690968649614
32,26.4,0.8498926929868639,0.9992605744012362,0.28093382212360296,0.14297881663027612,0.7654355817591985,0.8454150355679431,3.8507029319178794
33,26.6,0.8508111094240511,1.0036702638678112,0.2834187883056657,0.14514148097387602,0.7710106429263773,0.8528930521247012,3.8203875126969304
34,26.8,0.8517269341430476,1.0080763372139585,0.2859126451560386,0.1473201335986336,0.7765807342597559,0.8603978233976017,3.790512707322374
35,27.0,0.8526401643540922,1.0124790178936267,0.2884154930849188,0.14951476825107513,0.7821458220665326,0.867929651551367,3.7610686836592704
36,27.2,0.8535507972753275,1.0168785270676557,0.2909274334250322,0.15172537868333125,0.7877058727426602,0.8754888415268879,3.732045898292972
37,27.4,0.8544588301328073,1.0212750836850393,0.29344856844584183,0.15395195865439337,0.7932608527734711,0.8830757010839818,3.703435085987858
38,27.6,0.8553642601605067,1.0256689045620702,0.29597900136807387,0.1561945019317501,0.7988107287348861,0.8906905408451049,3.6752272496037492
39,27.8,0.8562670846003282,1.0300602044592266,0.29851883637843035,0.15845300229287096,0.8043554672943285,0.8983336743396276,3.6474136504478594
40,28.0,0.8571673007021123,1.0344491961559246,0.30106817864450924,0.16072745352654705,0.809895035211453,0.906005418048734,3.6199857990402964
41,28.2,0.8580649057236445,1.0388360905234164,0.3036271343300501,0.16301784943462527,0.8154293993393552,0.9137060914512998,3.592935446272028
42,28.4,0.8589598969306643,1.0432210965956727,0.3061958106103651,0.16532418383346803,0.8209585266254373,0.9214360170703288,3.5662545749367105
43,28.6,0.8598522715968734,1.0476044216384304,0.30877431568802005,0.16764645055545646,0.8264823841122301,0.9291955205201438,3.539935391617825
44,28.8,0.8607420270039436,1.051986271216614,0.3113627588088476,0.1699846434507748,0.8320009389386628,0.9369849305545725,3.513970318913334
45,29.0,0.8616291604415257,1.0563668492599798,0.31396125027816496,0.17233875638899265,0.8375141583409585,0.9448045791157536,3.4883519879823757
46,29.2,0.8625136692072574,1.0607463581271406,0.31656990147725317,0.17470878326063266,0.8430220096535137,0.9526548013837267,3.4630732313982215
47,29.4,0.8633955506067716,1.0651249986681257,0.31918882488015493,0.1770947179789215,0.8485244603100087,0.9605359358269829,3.438127076292653
48,29.6,0.8642748019537048,1.0695029702854282,0.32181813407072907,0.17949655448147928,0.8540214778443879,0.968448324253786,3.4135067377783455
49,29.8,0.8651514205697045,1.0738804709937197,0.324457943760039,0.18191428673218768,0.8595130298920716,0.9763923118645003,3.3892056126358012
50,30.0,0.8660254037844386,1.0782576974780582,0.3271083698039387,0.18434790872273243,0.8649990841906875,0.9843682473045123,3.3652172732532404
51,30.2,0.8668967489356028,1.0826348451509935,0.32976952922107294,0.18679741447458653,0.8704796085813844,0.9923764827183981,3.3415354618066315
52,30.4,0.8677654533689284,1.0870121082083324,0.3324415402111205,0.1892627980407906,0.8759545710098176,1.000417373804823,3.318154084669725
53,30.6,0.8686315144381912,1.0913896796837228,0.3351245221733507,0.19174405350774615,0.8814239395271674,1.0084912798723846,3.2950672070432065
54,30.8,0.869494929505219,1.0957677515021427,0.3378185957255207,0.19424117499712112,0.8868876822912093,1.016598563896479,3.2722690477929497
55,31.0,0.8703556959398997,1.100146514532379,0.3405238827231446,0.19675415666792695,0.8923457675676881,1.0247395925772884,3.2497539744877737
56,31.2,0.8712138111201895,1.104526158638269,0.34324050627896985,0.19928299271818384,0.8977981637309731,1.0329147363983917,3.2275164986286016
57,31.4,0.8720692724321205,1.108906872729234,0.3459685907829683,0.20182767738721097,0.9032448392656794,1.041124369686923,3.2055512710590435
58,31.6,0.8729220772698096,1.1132888448095484,0.3487082619224769,0.2043882049572594,0.9086857627672102,1.0493688706741806,3.18385307755111
